country,brand,cars_sold,country_total,share
Belgium,Skoda,20017,624935,0.032030531175242224
Belgium,Ssangyong,965,624935,0.001544160592701641
Belgium,Subaru,558,624935,0.0008928928608575292
Belgium,Suzuki,7038,624935,0.01126197124500948
Belgium,Tesla,878,624935,0.001404946114395897
Belgium,Toyota,19150,624935,0.03064318689143671
Belgium,VW,61360,624935,0.09818621136598206
Belgium,Volvo Cars,20155,624935,0.03225135414083065
Belgium,smart,1741,624935,0.0027858897325321835
Brazil,ASA,143,2531792,5.648173309655769e-05
Brazil,Agrale,278,2531792,0.00010980364895694433
Brazil,Anhui Jianghuai Automobile,2871,2531792,0.0011339794106308891
Brazil,Audi,7108,2531792,0.0028074976143379867
Brazil,BMW,8054,2531792,0.0031811460025152143
Brazil,Chery,8420,2531792,0.0033257076410700406
Brazil,Chevrolet,434241,2531792,0.17151527455651966
Brazil,Citroen,19114,2531792,0.0075495933315217045
Brazil,DAF,2344,2531792,0.0009258264501981206
Brazil,Dodge,678,2531792,0.0002677945107654973
Brazil,Fiat,325527,2531792,0.12857572817988208
Brazil,Ford,235413,2531792,0.09298275687734221
Brazil,Honda,130957,2531792,0.051725023224656684
Brazil,Hyundai,205793,2531792,0.08128353356041887
Brazil,Iveco,6045,2531792,0.0023876368990817572
Brazil,Jaguar,1180,2531792,0.00046607304233523136
Brazil,Jeep,106628,2531792,0.042115624032305975
Brazil,Kia,10863,2531792,0.004290636829565778
Brazil,Land Rover,5242,2531792,0.002070470244001087
Brazil,Lexus,209,2531792,8.255022529496893e-05
Brazil,Lifan,2083,2531792,0.0008227374128680397
Brazil,MAN,1466,2531792,0.0005790365085283467
Brazil,MINI,1539,2531792,0.0006078698408084076
Brazil,Marcopolo,1925,2531792,0.0007603310224536613
Brazil,Mercedes-Benz,45890,2531792,0.018125501620986244
Brazil,Mitsubishi,21591,2531792,0.00852795174327117
Brazil,Nissan,97499,2531792,0.03850987758868027
Brazil,Peugeot,22122,2531792,0.008737684612322024
Brazil,Porsche,648,2531792,0.00025594519612985584
Brazil,Renault,214857,2531792,0.08486360648900068
Brazil,Scania,9369,2531792,0.0037005409607108325
Brazil,Suzuki,4064,2531792,0.0016051871559748985
Brazil,Toyota,200052,2531792,0.07901596971631161
Brazil,Troller,1480,2531792,0.0005845661886916461
Brazil,VW,390233,2531792,0.15413311994034265
Brazil,Volvo Cars,5866,2531792,0.00231693598842243
Bulgaria,Audi,1056,34154,0.030918779645136733
Bulgaria,BMW,936,34154,0.02740528195818938
Bulgaria,Citroen,1434,34154,0.0419862973590209
Bulgaria,Dacia,2776,34154,0.08127891315804883
Bulgaria,Fiat,312,34154,0.009135093986063126
Bulgaria,Ford,2591,34154,0.07586227089067166
Bulgaria,GreatWall,2845,34154,0.08329917432804357
Bulgaria,Honda,210,34154,0.006148620952157873
Bulgaria,Hyundai,684,34154,0.02002693681559993
Bulgaria,Jaguar,135,34154,0.003952684897815775
Bulgaria,Kia,1225,34154,0.03586695555425426
Bulgaria,Land Rover,212,34154,0.0062071792469403295
Bulgaria,Mazda,786,34154,0.023013409849505184
Bulgaria,Mercedes-Benz,684,34154,0.02002693681559993
Bulgaria,Mitsubishi,405,34154,0.011858054693447327
Bulgaria,Nissan,1221,34154,0.03574983896468935
Bulgaria,Opel,3436,34154,0.1006031504362593
Bulgaria,Other,511,34154,0.014961644316917492
Bulgaria,Peugeot,1009,34154,0.02954265971774902
Bulgaria,Renault,1918,34154,0.05615740469637524
Bulgaria,SEAT,291,34154,0.008520231890847338
Bulgaria,Skoda,2575,34154,0.07539380453241201
Bulgaria,Subaru,188,34154,0.005504479709550858
Bulgaria,Suzuki,269,34154,0.007876090648240323
Bulgaria,Toyota,2816,34154,0.08245007905369796
Bulgaria,VW,3319,34154,0.09717749019148562
Bulgaria,Volvo Cars,310,34154,0.00907653569128067
Canada,Acura,20337,2033585,0.01000056550377781
Canada,Alfa Romeo,1402,2033585,0.0006894228665140626
Canada,Audi,36908,2033585,0.01814922907082812
Canada,BMW,39033,2033585,0.019194181703739946
Canada,Buick,18160,2033585,0.008930042265260611
Canada,Cadillac,11893,2033585,0.005848292547397822
Canada,Chevrolet,164016,2033585,0.08065362401866655
