Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Macao SAR, China",MAC,82943.6803206488
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Madagascar,MDG,480.915251377409
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malawi,MWI,390.840706664216
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malaysia,MYS,11075.5796861299
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Maldives,MDV,9822.5396400279
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mali,MLI,802.033620932771
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malta,MLT,27867.5391488301
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Marshall Islands,MHL,3409.49291241526
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mauritania,MRT,1575.31378777001
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mauritius,MUS,10335.848574865
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mexico,MEX,9945.77684548009
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Micronesia, Fed. Sts.",FSM,2917.24221928425
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Moldova,MDA,3260.53170055043
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Monaco,MCO,171223.980529205
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mongolia,MNG,4233.9726894313
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Montenegro,MNE,7381.80417286363
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Morocco,MAR,3004.63232421875
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mozambique,MOZ,602.530495032573
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Myanmar,MMR,1459.64297672406
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Namibia,NAM,4632.39089281682
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nauru,NRU,8392.95808376184
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nepal,NPL,1021.33187703851
