country,gdp_per_capita,brand,cars_sold,country_total,share
Korea,31053,Toyota,16774,1812994,0.0092520990141169
Korea,31053,Volkswagen,15390,1812994,0.0084887208672505
Korea,31053,Volvo,8524,1812994,0.0047016151184173
Luxembourg,107201,Audi,3498,57770,0.0605504587155963
Luxembourg,107201,BMW,4973,57770,0.0860827419075644
Luxembourg,107201,Ford,3046,57770,0.0527263285442271
Luxembourg,107201,Honda,348,57770,0.0060238878310541
Luxembourg,107201,Hyundai,1809,57770,0.0313138307079799
Luxembourg,107201,Jeep,673,57770,0.0116496451445386
Luxembourg,107201,Kia,708,57770,0.0122554959321447
Luxembourg,107201,Lexus,148,57770,0.0025618833304483
Luxembourg,107201,Mazda,660,57770,0.0114246148519993
Luxembourg,107201,Mercedes Benz,5455,57770,0.0944261727540245
Luxembourg,107201,Mitsubishi,156,57770,0.0027003635104725
Luxembourg,107201,Nissan,1277,57770,0.0221048987363683
Luxembourg,107201,Porsche,860,57770,0.0148866193526051
Luxembourg,107201,Subaru,125,57770,0.0021637528128786
Luxembourg,107201,Toyota,1029,57770,0.0178120131556171
Luxembourg,107201,Volkswagen,7071,57770,0.1223991691189198
Luxembourg,107201,Volvo,1953,57770,0.0338064739484161
Malaysia,11075,Audi,150,596834,0.0002513261643941
Malaysia,11075,BMW,12008,596834,0.0201194972136305
